AACN Clinical Issues	AACN Clin. Issues	AACN Clin Issues	
Reviews in Pure and Applied Pharmacological Sciences	Rev. Pure Appl. Pharmacol. Sci.	Rev Pure Appl Pharmacol Sci	Reviews in Pure & Applied Pharmacological Sciences
Reviews in the Neurosciences	Rev. Neurosci.	Rev Neurosci	
Reviews of Environmental Contamination and Toxicology	Rev. Environ. Contam. Toxicol.	Rev Environ Contam Toxicol	Reviews of Environmental Contamination & Toxicology
Reviews of Infectious Diseases	Rev. Infect. Dis.	Rev Infect Dis	
Reviews of Oculomotor Research	Rev. Oculomot. Res.	Rev Oculomot Res	
Reviews of Physiology Biochemistry and Pharmacology	Rev. Physiol. Biochem. Pharmacol.	Rev Physiol Biochem Pharmacol	Reviews of Physiology Biochemistry & Pharmacology
Reviews of Reproduction	Rev. Reprod.	Rev Reprod	
Reviews on Drug Metabolism and Drug Interactions	Rev. Drug Metabol. Drug Interact.	Rev Drug Metabol Drug Interact	Reviews on Drug Metabolism & Drug Interactions
Reviews on Environmental Health	Rev. Environ. Health	Rev Environ Health	
Revisiones Sobre Biologia Celular	Revis. Biol. Celular	Revis Biol Celular	
Revista ADM	Rev. ADM	Rev ADM	
Revista Alergia	Rev. Alerg.	Rev Alerg	
Revista Alergia Mexico	Rev. Alerg. Mex.	Rev Alerg Mex	
Revista Argentina de Cirugia	Rev. Argent. Cir.	Rev Argent Cir	
Revista Argentina de Endocrinologia y Metabolismo	Rev. Argent. Endocrinol. Metab.	Rev Argent Endocrinol Metab	
Revista Argentina de Implantologia Estomatologica	Rev. Argent. Implantol. Estomatol.	Rev Argent Implantol Estomatol	
Revista Argentina de Microbiologia	Rev. Argent. Microbiol.	Rev Argent Microbiol	
Revista Argentina de Urologia y Nefrologia	Rev. Argent. Urol. Nefrol.	Rev Argent Urol Nefrol	
Revista Brasileira de Anestesiologia	Rev. Bras. Anestesiol.	Rev Bras Anestesiol	
Revista Brasileira de Biologia	Rev. Bras. Biol.	Rev Bras Biol	
Revista Brasileira de Cirurgia	Rev. Bras. Cir.	Rev Bras Cir	
Revista Brasileira de Enfermagem	Rev. Bras. Enferm.	Rev Bras Enferm	
Revista Brasileira de Gastroenterologia	Rev. Bras. Gastroenterol.	Rev Bras Gastroenterol	
Revista Brasileira de Leprologia	Rev. Bras. Leprol.	Rev Bras Leprol	
Revista Brasileira de Malariologia e Doencas Tropicais	Rev. Bras. Malariol. Doencas Trop.	Rev Bras Malariol Doencas Trop	
Revista Brasileira de Medicina	Rev. Bras. Med.	Rev Bras Med	
Revista Brasileira de Odontologia	Rev. Bras. Odontol.	Rev Bras Odontol	
Revista Brasileira de Odontologia Militar	Rev. Bras. Odontol. Mil.	Rev Bras Odontol Mil	
Revista Brasileira de Oftalmologia	Rev. Bras. Oftalmol.	Rev Bras Oftalmol	
Revista Brasileira de Pesquisas Medicas e Biologicas	Rev. Bras. Pesqui. Med. Biol.	Rev Bras Pesqui Med Biol	
Revista Catarinense de Odontologia	Rev. Catarinense Odontol.	Rev Catarinense Odontol	
Revista Centro America Odontologica	Rev. Cent. Am. Odontol.	Rev Cent Am Odontol	
Revista Chilena de Obstetricia y Ginecologia	Rev. Chil. Obstet. Ginecol.	Rev Chil Obstet Ginecol	
Revista Chilena de Odontoestomatologia	Rev. Chil. Odontoestomatol.	Rev Chil Odontoestomatol	
Revista Chilena de Pediatria	Rev. Chil. Pediatr.	Rev Chil Pediatr	
Revista Clinica Espanola	Rev. Clin. Esp.	Rev Clin Esp	
Revista Clinica - Instituto Maternal, Lisbon	Rev. Clin. Inst. Matern. Lisb.	Rev Clin Inst Matern Lisb	
Revista Colombiana de Obstetricia y Ginecologia	Rev. Colomb. Obstet. Ginecol.	Rev Colomb Obstet Ginecol	
Revista Colombiana de Pediatria y Puericultura	Rev. Colomb. Pediatr. Pueric.	Rev Colomb Pediatr Pueric	
Revista Costarricense de Ciencias Medicas	Rev. Costarric. Cienc. Med.	Rev Costarric Cienc Med	
Revista Cubana de Enfermeria	Rev. Cubana Enferm.	Rev Cubana Enferm	
Revista Cubana de Estomatologia	Rev. Cubana Estomatol.	Rev Cubana Estomatol	
Revista Cubana de Medicina Tropical	Rev. Cubana Med. Trop.	Rev Cubana Med Trop	
Revista da Associacao Medica Brasileira	Rev. Assoc. Med. Bras.	Rev Assoc Med Bras	
Revista da Associacao Paulista de Cirurgioes Dentistas	Rev. Assoc. Paul. Cir. Dent.	Rev Assoc Paul Cir Dent	
Revista da Associacao Paulista de Cirurgioes Dentistas Regional de Aracatuba	Rev. Assoc. Paul. Cir. Dent. Reg. Aracatuba	Rev Assoc Paul Cir Dent Reg Aracatuba	
Revista da Escola de Enfermagem da USP	Rev. Esc. Enferm. USP	Rev Esc Enferm USP	
Revista da Faculdade de Farmacia e Odontologia de Araraquara	Rev. Fac. Farm. Odontol. Araraquara	Rev Fac Farm Odontol Araraquara	
Revista da Faculdade de Farmacia e Odontologia de Ribeirao Preto	Rev. Fac. Farm. Odontol. Ribeiro. Preto	Rev Fac Farm Odontol Ribeiro Preto	
Revista da Faculdade de Odontologia da FZL	Rev. Faculdade Odontol. FZL	Rev Faculdade Odontol FZL	
Revista da Faculdade de Odontologia da Universidade de Sao Paulo	Rev. Fac. Odontol. Sao Paulo	Rev Fac Odontol Sao Paulo	
Revista da Faculdade de Odontologia da Universidade Federal da Bahia	Rev. Fac. Odontol. Univ. Fed. Bahia	Rev Fac Odontol Univ Fed Bahia	
Revista da Faculdade de Odontologia de Aracatuba	Rev. Fac. Odontol. Aracatuba	Rev Fac Odontol Aracatuba	
Revista da Faculdade de Odontologia de Lins	Rev. Faculdade Odontol. Lins	Rev Faculdade Odontol Lins	
Revista da Faculdade de Odontologia de Pernambuco	Rev. Fac. Odontol. Pernambuco	Rev Fac Odontol Pernambuco	
Revista da Faculdade de Odontologia de Sao Jose Dos Campos	Rev. Fac. Odontol. Sao Jose Dos Campos	Rev Fac Odontol Sao Jose Dos Campos	
Revista da Faculdade de Odontologia, Porto Alegre	Rev. Fac. Odontol. P. Alegre	Rev Fac Odontol P Alegre	
Revista da Sociedade Brasileira de Medicina Tropical	Rev. Soc. Bras. Med. Trop.	Rev Soc Bras Med Trop	
Revista de Actualidad Estomatologica Espanola	Rev. Actual. Estomatol. Esp.	Rev Actual Estomatol Esp	
Revista de Actualidad Odontoestomatologica Espanola	Rev. Actual. Odontoestomatol. Esp.	Rev Actual Odontoestomatol Esp	
Revista de Biologia Oral	Rev. Biol. Oral	Rev Biol Oral	
Revista de Biologia Tropical	Rev. Biol. Trop.	Rev Biol Trop	
Revista de Chirurgie, Oncologie, Radiologie, O.R.L., Oftalmologie, Stomatologie. Chirurgie	Rev. Chir. Oncol. Radiol. O. R. L. Oftalmol. Stomatol. Chir.	Rev Chir Oncol Radiol O R L Oftalmol Stomatol Chir	
Revista de Chirurgie, Oncologie, Radiologie, O.R.L., Oftalmologie, Stomatologie. Oto-Rino-Laringologia	Rev. Chir. Oncol. Radiol. O. R. L. Oftalmol. Stomatol. Otorinolaringol.	Rev Chir Oncol Radiol O R L Oftalmol Stomatol Otorinolaringol	
Revista de Chirurgie, Oncologie, Radiologie, O.R.L., Oftalmologie, Stomatologie. Seria Oftalmologie	Rev. Chir. Oncol. Radiol. O. R. L. Oftalmol. Stomatol. Ser. Oftalmol.	Rev Chir Oncol Radiol O R L Oftalmol Stomatol Ser Oftalmol	
Revista de Chirurgie, Oncologie, Radiologie, O.R.L., Oftalmologie, Stomatologie. Seria: Stomatologie	Rev. Chir. Oncol. Radiol. O. R. L. Oftalmol. Stomatol. Ser. Stomatol.	Rev Chir Oncol Radiol O R L Oftalmol Stomatol Ser Stomatol	
Revista de Cirugia del Uruguay	Rev. Cir. Urug.	Rev Cir Urug	
Revista de Enfermagem	Rev. Enferm. (Lisboa).	Rev Enferm (Lisboa)	
Revista de Enfermeria	Rev. Enferm.	Rev Enferm	
Revista de Faculdade de Odontologia de Ribeirao Preto	Rev. Fac. Odontol. Ribeiro. Preto	Rev Fac Odontol Ribeiro Preto	
Revista de Farmacia e Bioquimica da Universidade de Sao Paulo	Rev. Farm. Bioquim. Univ. Sao Paulo	Rev Farm Bioquim Univ Sao Paulo	
Revista de Farmacia e Odontologia	Rev. Farm. Odontol.	Rev Farm Odontol	
Revista de Gastroenterologia de Mexico	Rev. Gastroenterol. Mex.	Rev Gastroenterol Mex	
Revista de Gastroenterologia del Peru	Rev. Gastroenterol. Peru	Rev Gastroenterol Peru	
Revista de Ginecologia e d Obstetricia	Rev. Ginecol. Obstet. (Sao. Paulo).	Rev Ginecol Obstet (Sao Paulo)	
Revista de Igiena, Bacteriologie, Virusologie, Parazitologie, Epidemiologie, Pneumoftiziologie. Pneumoftiziologia	Rev. Ig. Bacteriol. Virusol. Parazitol. Epidemiol. Pneumoftiziol. Pneumoftiziol.	Rev Ig Bacteriol Virusol Parazitol Epidemiol Pneumoftiziol Pneumoftiziol	
Revista de Investigacion	Rev. Invest. (Guadalajara).	Rev Invest (Guadalajara)	
Revista de Investigacion Clinica	Rev. Invest. Clin.	Rev Invest Clin	
Revista de Investigacion En Salud Publica	Rev. Invest. Salud Publica	Rev Invest Salud Publica	
Revista de la Agrupacion Odontologica de la Capital Federal	Rev. Agrup. Odontol. Cap. Fed.	Rev Agrup Odontol Cap Fed	
Revista de la Asociacion Argentina de Microbiologia	Rev. Asoc. Argent. Microbiol.	Rev Asoc Argent Microbiol	
Revista de la Asociacion de Profesionales del Hospital Nacional de Odontologia	Rev. Asoc. Prof. Hosp. Nac. Odontol.	Rev Asoc Prof Hosp Nac Odontol	
Revista de la Asociacion Medica Argentina	Rev. Asoc. Med. Argent.	Rev Asoc Med Argent	
Revista de la Asociacion Mexicana de Enfermeras	Rev. Asoc. Mex. Enferm.	Rev Asoc Mex Enferm	
Revista de la Asociacion Odontologica Argentina	Rev. Asoc. Odontol. Argent.	Rev Asoc Odontol Argent	
Revista de la Asociacion Odontologica de Costa Rica	Rev. Asoc. Odontol. Costa Rica	Rev Asoc Odontol Costa Rica	
Revista de la Escuela de Odontologia, Universidad Nacional de Tucuman, Facultad de Medicina	Rev. Esc. Odontol. Tucuman.	Rev Esc Odontol Tucuman	
Revista de la Facultad de Ciencias Medicas de Cordoba	Rev. Fac. Cienc. Med. Cordoba	Rev Fac Cienc Med Cordoba	
Revista de la Facultad de Ciencias Medicas de la Universidad Nacional de Cordoba	Rev. Fac. Cien. Med. Univ. Nac. Cordoba	Rev Fac Cien Med Univ Nac Cordoba	
Revista de la Facultad de Ciencias Medicas / Universidad Nacional de Cordoba	Rev. Fac. Cien. Med. Univ. Nac. Cordoba	Rev Fac Cien Med Univ Nac Cordoba	
Revista de la Facultad de Medicina, Universidad Nacional de Colombia	Rev. Fac. Med. Univ. Nac. Colomb.	Rev Fac Med Univ Nac Colomb	
Revista de la Facultad de Odontologia	Rev. Fac. Odontol. Univ. Nac. (Cordoba).	Rev Fac Odontol Univ Nac (Cordoba)	
Revista de la Facultad de Odontologia de la Universidad Nacional de Colombia	Rev. Fac. Odontol. Univ. Nac. Colomb.	Rev Fac Odontol Univ Nac Colomb	
Revista de la Facultad de Odontologia Universidad de Antioquia	Rev. Fac. Odontol. Univ. Antioq.	Rev Fac Odontol Univ Antioq	
Revista de la Facultad de Odontologia, Universidad Nacional de Tucuman	Rev. Fac. Odontol. Tucuman	Rev Fac Odontol Tucuman	
Revista de la Federacion Odontologica Colombiana	Rev. Fed. Odontol. Colomb.	Rev Fed Odontol Colomb	
Revista de la Federacion Odontologica Ecuatoriana	Rev. Fed. Odontol. Ecuat.	Rev Fed Odontol Ecuat	
Revista de la Sanidad Militar Argentina	Rev. Sanid. Milit. Argent.	Rev Sanid Milit Argent	
Revista de la Sociedad Argentina de Biologia	Rev. Soc. Argent. Biol.	Rev Soc Argent Biol	
Revista de la Sociedad Colombiana de Ortodoncia	Rev. Soc. Colomb. Ortod.	Rev Soc Colomb Ortod	
Revista de la Sociedad Odontologica de la Plata	Rev. Soc. Odontol. La. Plata	Rev Soc Odontol La Plata	
Revista de la Sociedad Peruana de Endocrinologia	Rev. Soc. Peru. Endocrinol.	Rev Soc Peru Endocrinol	
Revista de Medicina de la Universidad de Navarra	Rev. Med. Univ. Navarra	Rev Med Univ Navarra	
Revista de Medicina Interna, Neurologie, Psihiatrie, Neurochirurgie, Dermato-Venerologie. Medicina Interna	Rev. Med. Interna Neurol. Psihiatr. Neurochir. Dermatovenerol. Med. Intern.	Rev Med Interna Neurol Psihiatr Neurochir Dermatovenerol Med Intern	
Revista de Neuro-Psiquiatria	Rev. Neuropsiquiatr.	Rev Neuropsiquiatr	
Revista de Neurologia	Rev. Neurol.	Rev Neurol	
Revista de Obstetricia y Ginecologia de Venezuela	Rev. Obstet. Ginecol. Venez.	Rev Obstet Ginecol Venez	
Revista de Odontologia da UNESP	Rev. Odontol. UNESP	Rev Odontol UNESP	
Revista de Odontologia da Universidade de Sao Paulo	Rev. Odontol. Univ. Sao Paulo	Rev Odontol Univ Sao Paulo	
Revista de Odontologia da Universidade Federal de Santa Catarina	Rev. Odontol. St. Catarina	Rev Odontol St Catarina	
Revista de Pediatrie, Obstetrica Si Ginecologie. Obstetrica Si Ginecologie	Rev. Pediatr. Obstet. Ginecol. Obstet. Ginecol.	Rev Pediatr Obstet Ginecol Obstet Ginecol	
Revista de Pediatrie, Obstetrica Si Ginecologie. Pediatria	Rev. Pediatr. Obstet. Ginecol. Pediatr.	Rev Pediatr Obstet Ginecol Pediatr	
Revista de Sanidad e Higiene Publica	Rev. Sanid. Hig. Publica (Madr).	Rev Sanid Hig Publica (Madr)	
Revista de Saude Publica	Rev. Saude Publica	Rev Saude Publica	
Revista del Ateneo Argentino de Odontologia	Rev. Ateneo Argent. Odontol.	Rev Ateneo Argent Odontol	
Revista del Ateneo de la Catedra de Tecnica de Operatoria Dental	Rev. Ateneo Catedra Tec. Oper. Dent.	Rev Ateneo Catedra Tec Oper Dent	
Revista del Circulo Argentino de Odontologia	Rev. Circ. Argent. Odontol.	Rev Circ Argent Odontol	
Revista del Circulo Odontologico de Cordoba	Rev. Circ. Odontol. Cordoba	Rev Circ Odontol Cordoba	
Revista del Circulo Odontologico de Rosario	Rev. Circul. Ondontol. Ros.	Rev Circul Ondontol Ros	
Revista del Circulo Odontologico del Sur	Rev. Circ. Odontol. Sur	Rev Circ Odontol Sur	
Revista del Colegio Estomatologico de Guatemala	Rev. Col. Estomatol. Guatem.	Rev Col Estomatol Guatem	
Revista del Colegio Medico de Guatemala	Rev. Col. Med. Guatem.	Rev Col Med Guatem	
Revista del Colegio Nacional de Enfermeras	Rev. Col. Nac. Enferm.	Rev Col Nac Enferm	
Revista del Instituto de Salubridad y Enfermedades Tropicales	Rev. Inst. Salubr. Enferm. Trop.	Rev Inst Salubr Enferm Trop	
Revista del Instituto Nacional de Cancerologia	Rev. Inst. Nac. Cancerol. (Mex).	Rev Inst Nac Cancerol (Mex)	
Revista del Museo de la Facultad de Odontologia de Buenos Aires	Rev. Museo Fac. Odontol. B. Aires	Rev Museo Fac Odontol B Aires	
Revista Dental	Rev. Dent. (St. Domingo).	Rev Dent (St Domingo)	
Revista Dental de Chile	Rev. Dent. Chile	Rev Dent Chile	
Revista do Centro de Ciencias Biomedicas da Universidade Federal de Uberlandia	Rev. Centro Cienc. Biomed. Univ. Fed. Uberlandia	Rev Centro Cienc Biomed Univ Fed Uberlandia	
Revista do Hospital Das Clinicas; Faculdade de Medicina da Universidade de Sao Paulo	Rev. Hosp. Clin. Fac. Med. Sao Paulo	Rev Hosp Clin Fac Med Sao Paulo	
Revista do Instituto de Antibioticos, Universidade Federal de Pernambuco	Rev. Inst. Antibiot. (Recife).	Rev Inst Antibiot (Recife)	
Revista do Instituto de Medicina Tropical de Sao Paulo	Rev. Inst. Med. Trop. Sao Paulo	Rev Inst Med Trop Sao Paulo	
Revista Ecuatoriana de Higiene y Medicina Tropical	Rev. Ecuat. Hig. Med. Trop.	Rev Ecuat Hig Med Trop	
Revista Enfermagem em Novas Dimensoes	Rev. Enferm. Nov. Dimens.	Rev Enferm Nov Dimens	
Revista Espanola de Anestesiologia	Rev. Esp. Anestesiol.	Rev Esp Anestesiol	
Revista Espanola de Anestesiologia y Reanimacion	Rev. Esp. Anestesiol. Reanim.	Rev Esp Anestesiol Reanim	
Revista Espanola de Cardiologia	Rev. Esp. Cardiol.	Rev Esp Cardiol	
Revista Espanola de Endodoncia	Rev. Esp. Endodoncia	Rev Esp Endodoncia	
Revista Espanola de Enfermedades Digestivas	Rev. Esp. Enferm. Dig.	Rev Esp Enferm Dig	
Revista Espanola de Estomatologia	Rev. Esp. Estomatol.	Rev Esp Estomatol	
Revista Espanola de Fisiologia	Rev. Esp. Fisiol.	Rev Esp Fisiol	
Revista Espanola de Las Enfermedades del Aparato Digestivo	Rev. Esp. Enferm. Apar. Dig.	Rev Esp Enferm Apar Dig	
Revista Espanola de Medicina Nuclear	Rev. Esp. Med. Nucl.	Rev Esp Med Nucl	
Revista Espanola de Obstetricia y Ginecologia	Rev. Esp. Obstet. Ginecol.	Rev Esp Obstet Ginecol	
Revista Espanola de Oncologia	Rev. Esp. Oncol.	Rev Esp Oncol	
Revista Espanola de Oto-Neuro-Oftalmologia y Neurocirugia	Rev. Esp. Otoneurooftalmol. Neurocir.	Rev Esp Otoneurooftalmol Neurocir	
Revista Espanola de Paradoncia	Rev. Esp. Parad.	Rev Esp Parad	
Revista Espanola de Pediatria	Rev. Esp. Pediatr.	Rev Esp Pediatr	
Revista Espanola de Quimioterapia	Rev. Esp. Quimioter.	Rev Esp Quimioter	
Revista Espanola de Reumatismo y Enfermedades Osteo-Articulares	Rev. Esp. Reum. Enferm. Osteoartic.	Rev Esp Reum Enferm Osteoartic	
Revista Espanola de Tuberculosis	Rev. Esp. Tuberc.	Rev Esp Tuberc	
Revista Europea de Odonto-Estomatologia	Rev. Eur. Odontoestomatol.	Rev Eur Odontoestomatol	
Revista FOA	Rev. FOA	Rev FOA	
Revista Gaucha de Enfermagem	Rev. Gaucha Enferm.	Rev Gaucha Enferm	
Revista Gaucha de Odontologia	Rev. Gaucha Odontol.	Rev Gaucha Odontol	
Revista Guatemalteca de Estomatologia	Rev. Guatem. Estomatol.	Rev Guatem Estomatol	
Revista Iberica de Endocrinologia	Rev. Iber. Endocrinol.	Rev Iber Endocrinol	
Revista Ibero-Americana de Ortodoncia	Rev. Iberoam. Ortod.	Rev Iberoam Ortod	
Revista Interamericana de Radiologia	Rev. Interam. Radiol.	Rev Interam Radiol	
Revista Latino-Americana de Enfermagem	Rev. Lat. Am. Enfermagem	Rev Lat Am Enfermagem	
Revista Latinoamericana de Cirugia Plastica	Rev. Latinoam. Cir. Plast.	Rev Latinoam Cir Plast	
Revista Latinoamericana de Microbiologia	Rev. Latinoam. Microbiol.	Rev Latinoam Microbiol	
Revista Latinoamericana de Microbiologia y Parasitologia	Rev. Latinoam. Microbiol. Parasitol. (Mex).	Rev Latinoam Microbiol Parasitol (Mex)	
Revista Latinoamericana de Patologia	Rev. Latinoam. Patol.	Rev Latinoam Patol	
Revista Medica de Chile	Rev. Med. Chil.	Rev Med Chil	
Revista Medica de Costa Rica	Rev. Med. Costa Rica	Rev Med Costa Rica	
Revista Medica de Panama	Rev. Med. Panama	Rev Med Panama	
Revista Medica del Hospital General	Rev. Med. Hosp. Gen. (Mex).	Rev Med Hosp Gen (Mex)	
Revista Medica Hondurena	Rev. Med. Hondur.	Rev Med Hondur	
Revista Medico-Chirurgicala a Societatii de Medici Si Naturalisti Din Iasi	Rev. Med. Chir. Soc. Med. Nat. Iasi	Rev Med Chir Soc Med Nat Iasi	
Revista Mexicana de Cirugia, Ginecologia y Cancer	Rev. Mex. Cir. Ginecol. Cancer	Rev Mex Cir Ginecol Cancer	
Revista Mexicana de Urologia	Rev. Mex. Urol.	Rev Mex Urol	
Revista Odonto-Estomatologica	Rev. Odontoestomatol.	Rev Odontoestomatol	
Revista Odontologica	Rev. Odontol. (La. Paz).	Rev Odontol (La Paz)	
Revista Odontologica de Concepcion	Rev. Odontol. Concepcion	Rev Odontol Concepcion	
Revista Odontologica de Costa Rica	Rev. Odontol. Costa Rica	Rev Odontol Costa Rica	
Revista Odontologica de Puerto Rico	Rev. Odontol. P. R.	Rev Odontol P R	
Revista Odontologica del Circulo de Odontologos del Paraguay	Rev. Odontol. Circ. Odontol. Parag.	Rev Odontol Circ Odontol Parag	
Revista Odontologica Ecuatoriana	Rev. Odontol. Ecuat.	Rev Odontol Ecuat	
Revista Odontologica; Facultad de Odontologia, Universidad Nacional de Cordoba	Rev. Odontol. (Cordoba).	Rev Odontol (Cordoba)	
Revista Panamericana de Salud Publica	Rev. Panam. Salud Publica	Rev Panam Salud Publica	
Revista Paulista de Endodontia	Rev. Paul. Endodontia	Rev Paul Endodontia	
Revista Paulista de Enfermagem	Rev. Paul. Enferm.	Rev Paul Enferm	
Revista Paulista de Medicina	Rev. Paul. Med.	Rev Paul Med	
Revista Paulista de Odontologia	Rev. Paul. Odontol.	Rev Paul Odontol	
Revista Pernambucana de Odontologia	Rev. Pernambucana Odontol.	Rev Pernambucana Odontol	
Revista Portuguesa de Cardiologia	Rev. Port. Cardiol.	Rev Port Cardiol	
Revista Portuguesa de Estomatologia e Cirurgia Maxilofacial	Rev. Port. Estomatol. Cir. Maxilofac.	Rev Port Estomatol Cir Maxilofac	
Revista Portuguesa de Pediatria	Rev. Port. Pediatr.	Rev Port Pediatr	
Revista Portuguesa de Pediatria e Puericultura	Rev. Port. Pediatr. Pueric.	Rev Port Pediatr Pueric	
Revista Quirurgica Espanola	Rev. Quir. Esp.	Rev Quir Esp	
Revista Regional de Aracatuba Associacao Paulista de Cirurgioes Dentistas	Rev. Reg. Aracatuba Assoc. Paul. Cir. Dent.	Rev Reg Aracatuba Assoc Paul Cir Dent	
Revista Venezolana de Sanidad y Asistencia Social	Rev. Venez. Sanid. Asist. Soc.	Rev Venez Sanid Asist Soc	
Revista Venezolana de Urologia	Rev. Venez. Urol.	Rev Venez Urol	
Revmatologiia	Revmatologiia (Mosk).	Revmatologiia (Mosk)	
Revolution	Revolution	Revolution	
Revue Annuelle - Societe Odonto-Stomatologique du Nord-Est	Rev. Annu. Soc. Odontostomatol. Nordest.	Rev Annu Soc Odontostomatol Nordest	
Revue Belge de Medecine Dentaire	Rev. Belge Med. Dent.	Rev Belge Med Dent	
Revue Belge de Pathologie et de Medecine Experimentale	Rev. Belg. Pathol. Med. Exp.	Rev Belg Pathol Med Exp	
Revue Canadienne de Biologie	Rev. Can. Biol.	Rev Can Biol	
Revue Canadienne de Biologie Experimentale	Rev. Can. Biol. Exp.	Rev Can Biol Exp	
Revue d Electroencephalographie et de Neurophysiologie Clinique	Rev. Electroencephalogr. Neurophysiol. Clin.	Rev Electroencephalogr Neurophysiol Clin	
Revue d Elevage et de Medecine Veterinaire des Pays Tropicaux	Rev. Elev. Med. Vet. Pays Trop.	Rev Elev Med Vet Pays Trop	
Revue d Epidemiologie et de Sante Publique	Rev. Epidemiol. Sante Publique	Rev Epidemiol Sante Publique	
Revue d Epidemiologie, Medecine Sociale et Sante Publique	Rev. Epidemiol. Med. Soc. Sante Publique	Rev Epidemiol Med Soc Sante Publique	
Revue d Histoire de l Art Dentaire	Rev. Hist. Art Dent.	Rev Hist Art Dent	
Revue d Hygiene et de Medecine Sociale	Rev. Hyg. Med. Soc.	Rev Hyg Med Soc	
Revue d Immunologie	Rev. Immunol. (Paris).	Rev Immunol (Paris)	
Revue d Immunologie et de Therapie Antimicrobienne	Rev. Immunol. Ther. Antimicrob.	Rev Immunol Ther Antimicrob	
Revue d Odonto-Stomatologie	Rev. Odontostomatol. (Paris).	Rev Odontostomatol (Paris)	
Revue d Odonto-Stomatologie du Midi de la France	Rev. Odontostomatol. Midi Fr.	Rev Odontostomatol Midi Fr	
Revue d Orthopedie Dento-Faciale	Rev. Orthop. Dento. Faciale	Rev Orthop Dento Faciale	
Revue d Oto-Neuro-Ophtalmologie	Rev. Otoneuroophtalmol.	Rev Otoneuroophtalmol	
Revue de Chirurgie Orthopedique et Reparatrice de l Appareil Moteur	Rev. Chir. Orthop. Reparatrice Appar. Mot.	Rev Chir Orthop Reparatrice Appar Mot	
Revue de Gerontologie d Expression Francaise	Rev. Gerontol. Expr. Fr.	Rev Gerontol Expr Fr	
Revue de l Atherosclerose et des Arteriopathies Peripheriques	Rev. Atheroscler. (Paris).	Rev Atheroscler (Paris)	
Revue de l Infirmiere	Rev. Infirm.	Rev Infirm	
Revue de l Infirmiere et de l Assistante Sociale	Rev. Infirm. Assist. Soc.	Rev Infirm Assist Soc	
Revue de l Infirmiere. Informations	Rev. Infirm. [Inf].	Rev Infirm [Inf]	
Revue de l Institut d Hygiene des Mines	Rev. Inst. Hyg. Mines (Hasselt).	Rev Inst Hyg Mines (Hasselt)	
Revue de Laryngologie Otologie Rhinologie	Rev. Laryngol. Otol. Rhinol. (Bord).	Rev Laryngol Otol Rhinol (Bord)	
Revue de Medecine Aeronautique	Rev. Med. Aeronaut.	Rev Med Aeronaut	
Revue de Medecine Interne	Rev. Med. Interne	Rev Med Interne	
Revue de Medecine Psychosomatique et de Psychologie Medicale	Rev. Med. Psychosom. Psychol. Med.	Rev Med Psychosom Psychol Med	
Revue de Neuropsychiatrie Infantile et d Hygiene Mentale de l Enfance	Rev. Neuropsychiatr. Infant.	Rev Neuropsychiatr Infant	
Revue de Pathologie Comparee	Rev. Pathol. Comp.	Rev Pathol Comp	
Revue de Pneumologie Clinique	Rev. Pneumol. Clin.	Rev Pneumol Clin	
Revue de Stomatologie et de Chirurgie Maxillo-Faciale	Rev. Stomatol. Chir. Maxillofac.	Rev Stomatol Chir Maxillofac	
Revue de Tuberculose et de Pneumologie	Rev. Tuberc. Pneumol. (Paris).	Rev Tuberc Pneumol (Paris)	
Revue Dentaire Libanaise. Lebanese Dental Magazine	Rev. Dent. Liban.	Rev Dent Liban	
Revue des Corps de Sante des Armees, Terre, Mer, Air	Rev. Corps Sante Armees. Terre. Mer. Air	Rev Corps Sante Armees Terre Mer Air	
Revue des Infirmieres et Infirmiers Auxiliaires du Quebec	Rev. Infirm. Infirm. Aux. Que.	Rev Infirm Infirm Aux Que	
Revue des Maladies Respiratoires	Rev. Mal. Respir.	Rev Mal Respir	
Revue du Praticien	Rev. Prat.	Rev Prat	
Revue du Rhumatisme. Edition Francaise	Rev. Rhum. Ed. Fr.	Rev Rhum Ed Fr	
Revue du Rhumatisme. English Edition	Rev. Rhum. Engl. Ed.	Rev Rhum Engl Ed	
Revue du Rhumatisme et des Maladies Osteo-Articulaires	Rev. Rhum. Mal. Osteoartic.	Rev Rhum Mal Osteoartic	
Revue du SESDA	Rev. SESDA	Rev SESDA	
Revue Europeenne d Etudes Cliniques et Biologiques	Rev. Eur. Etud. Clin. Biol.	Rev Eur Etud Clin Biol	
Revue Francaise d Allergologie	Rev. Fr. Allergol.	Rev Fr Allergol	
Revue Francaise d Endocrinologie Clinique, Nutrition et Metabolisme	Rev. Fr. Endocrinol. Clin.	Rev Fr Endocrinol Clin	
Revue Francaise d Endodontie	Rev. Fr. Endod.	Rev Fr Endod	
Revue Francaise d Etudes Cliniques et Biologiques	Rev. Fr. Etud. Clin. Biol.	Rev Fr Etud Clin Biol	
Revue Francaise d Odonto-Stomatologie	Rev. Fr. Odontostomatol.	Rev Fr Odontostomatol	
Revue Francaise de Gynecologie et d Obstetrique	Rev. Fr. Gynecol. Obstet.	Rev Fr Gynecol Obstet	
Revue Francaise de la Prothese Dentaire	Rev. Fr. Prothese Dent.	Rev Fr Prothese Dent	
Revue Francaise de Psychanalyse	Rev. Fr. Psychanal.	Rev Fr Psychanal	
